SUPPCODE,DESC,PRICE1,LSTCST
"           35116","SS TS SPICED WHISKEY LIQ 50ML","12.99","7.49"
"","Adult Misc","0.00","0.00"
"","Tobacco Misc","0.00","0.00"
"","Cigars Misc","0.00","0.00"
"","Home Brew Misc","0.00","0.00"
"","Funk Misc","0.00","0.00"
"","Hardware Misc","0.00","2.00"
"SP476","RAW CLASSIC KS SLIM PAPERS","5.00","1.35"
"SP481","RAW ORGANIC KS PAPERS","5.00","1.58"
"RAWROLLS","RAW CLASSIC ROLLS 3 MTR","6.00","2.15"
"RAW03","RAW CONNOISSEUR KS + TIPS","7.50","2.27"
"SP404","RAW ORGANIC 1 1/4 PAPERS","4.50","1.58"
"SP480","RAW CLASSIC 1 1/4 PAPERS","4.00","1.35"
"SP340","PURE HEMP PAPERS","1.50","0.37"
"SP900","ZEN FILTER TIPS","2.50","0.45"
"          613727","HORNET HEMP FILTER TIPS","3.00","0.78"
"SP906","RAW FILTER WIDE TIPS","3.50","0.75"
"JUICY JAY","JJ ROLLS PAPERS","6.00","2.08"
"          613143","HORNET 5M ROLLS PAPERS","2.00","0.23"
"","DR GRABOW PIPE FILTERS","2.99","0.52"
"           60622","SMOKING KS DELUXE + TIPS","5.50","1.61"
"SP350","SMOKING LIQUORICE PAPERS","2.50","0.75"
"           23450","VENTTI ULTRA SLIM FILTERS","1.50","0.70"
"","VENTTI CHARCOAL SLIM FILTERS","1.50","0.70"
"MP004","BOOMERANG REG BLUE FILTERS","1.50","0.76"
"   9414291000334","BOOMERANG SLIM RED FILTERS","1.50","0.73"
"SI011","STASH SILICONE CONTAINER $10","10.00","1.69"
"           55004","MJ LACTOSE 500G","12.99","3.84"
"           55610","SUGAR MEASURING SCOOP - 3 SIZE","4.99","1.76"
"F06E029A00","GIRL STYLE 4' DONG","37.99","13.00"
"ZS111","STEM FUNNEL ASSORTED $10.00","10.00","0.95"
"           59416","STOCKINGS/PANTYHOSE ASSORT.","4.99","0.50"
"300-9","WILD HIDE COLLAR SPIKED","109.99","38.00"
"300-2","WILD HIDE COLLAR","79.99","28.00"
"SE-1326","CAL WEIGHTED KEGEL BALLS","30.99","10.61"
"TWS-8042","BOOBIE MUG","14.99","4.95"
"","FUNNEL PIECES $10.00","10.00","5.00"
"DROP CONES","FUNNEL PIECES $15.00","15.00","2.17"
"RIZPDB","RIZLA DOUBLE BLUE PAPERS","1.50","0.44"
"RIZPDY","RIZLA DOUBLE YELLOW PAPERS","1.50","0.78"
"BG011","BREW-WORX BIC LIGHTER","3.00","1.75"
"WG010","EXTRA SPEARMINT/PEPPERMINT GUM","2.50","0.89"
"           10677","MJ BS CIDER","19.99","12.66"
"   9310704908542","WEE WILLEM REG CIGAR 10PK","39.90","28.83"
"           20825","VENTTI LIGHTER FLUID 133ML","7.00","4.06"
"ZIPWK","ZIPPO WICKS","5.50","2.39"
"","DILLS BRISTLE PIPE CLEANERS 32","5.00","0.43"
"","DILLS AMERICAS PIPE CLEAN 32PK","5.00","0.43"
"        50065135","VAN HARTOG ELFINOS 10PK","46.00","30.25"
"ZIP2005576","ZIPPO TOBACCO POUCH","99.99","43.92"
"","TARBLOCK FOR SMOKERS 30 PIECES","5.50","2.20"
"SL140","TASTY PUFF BREATH FRESHNER 1OZ","10.00","2.00"
"H552","ROTOKEG CO2 CYLINDER INJECTOR","39.90","20.00"
"","LOVE STICK BULLET VIBE","29.99","9.50"
"MO160HQ","ACRYLIC 2PC $7.50 GRINDER","7.50","1.39"
"","KY YOURS & MINE LUBE","29.99","7.50"
"           13605","JJ DBL RED ALERT BLUNT 2PK","6.50","3.75"
"SP564","JJ 1 1/4 BANANA PAPERS","5.50","2.22"
"","RANDY'S KS WIRED PAPERS","6.50","2.50"
"SP908","RAW FILTERS PERFECTO CONE TIPS","3.50","0.85"
"MH441","RAW ROLLING MACHINE 79MM","8.50","2.75"
"CIGROLLJ","JJ BLUNT ROLLING MACHINE","12.50","5.00"
"","TIN JUICY PAPERS","1.00","0.10"
"          613146","GRINDER 3PC HAND GRENADE","17.50","8.76"
"","GRINDER 3PC PLASTIC POKER CHIP","20.00","2.39"
"613726","GRINDER 2PC SKULL $12.5","12.50","5.56"
"613112","GRINDER 3PC BULLET","15.00","6.36"
"MO265","GRINDER 3PC RASTA/BOB ASST","15.00","4.00"
"","GRINDER 3PC HAZARD OIL CAN","37.50","3.40"
"YP 9013","GRINDER 3PC 6 SHOOTER","15.00","6.36"
"","GRINDER GRATER","15.00","5.00"
"MO155","GRINDER 3PC US DOLLAR LARGE","17.50","4.25"
"14-138","SO REAL STUD VIBE","34.99","10.22"
"SE-0707","REGAL CLIT ROCKET JELLY VIBE","35.99","12.50"
"MO150HQ","GRINDER 4PC SMILEY/MJ/Y&Y/LEAF","37.50","5.22"
"MO316","CNC GRINDER 4 PART 63MM $35","35.00","4.35"
"MO313","CNC GRINDER 4 PART 100MM $60","60.00","19.00"
"","CNC GRINDER W HANDLE ASSORTED","75.00","19.51"
"MO185","GRINDER SHARPSTONE W/HANDLE","65.00","26.00"
"MO125","GRINDER SHARPSTONE CT SILVER","60.00","22.50"
"MO182","GRINDER SHARPSTONE 2PC CT PUSH","45.00","20.00"
"MOD-UWL-CALG2KIT","UWELL CALIBURN G2 POD KIT","54.99","28.26"
"","TIN ROLLING STRONG BOX PICTURE","15.00","5.00"
"           99846","WILD BITCH VIBE","19.99","6.40"
"TINH","TIN FIVE STAR SMALL","7.50","1.00"
"MO208","PRESS SML 3PC","20.00","7.50"
"X0-04","VIBE THERAPY TRI","71.99","25.00"
"SL101","TASTY PUFF FLAVOURING","6.00","2.50"
"VN009","MOUTHPIECE FILTER","1.00","0.05"
"           37288","SCALES PANTHER 2PAC 0.01G","69.99","34.95"
"MS402","SCALES AWS POSTAL","7.50","1.50"
"PE470","SCALES WEIGHT CALIBRATION 50G","15.00","4.00"
"PE472","SCALES WEIGHT CALIBRATION 100G","15.00","1.74"
"MINI CD","SCALES MINI CD 100G X 0.01G","59.99","27.50"
"AC100","SCALES AWS AC-100 100G X 0.01G","59.99","23.00"
"           51655","BABY DIAPER KIT","34.99","15.00"
"    331195951415","LIGHTER JET FLAME $19.99","19.99","5.22"
"","LIGHTER JET FLAME $22.99","22.99","3.68"
"           20724","LIGHTER JET FLAME $24.99","24.99","8.70"
"           20557","LIGHTER JET FLAME $29.99","29.99","13.04"
"           20575","LIGHTER JET FLAME $34.99","34.99","10.87"
"           20574","LIGHTER JET FLAME $39.99","39.99","10.87"
"JOBON 5513","LIGHTER JET FLAME $44.99","44.99","10.87"
"           20584","LIGHTER JET FLAME $49.99","49.99","10.87"
"           20583","LIGHTER JET FLAME $54.99","54.99","17.39"
"","LIGHTER SPEC NORM FLAME 4.99","4.99","1.00"
"","LIGHTER SPEC NORM FLAME 6.99","6.99","2.50"
"","LIGHTER SPEC NORM FLAME 9.99","9.99","3.38"
"","LIGHTER SPEC NORM FLAME 12.99","12.99","4.00"
"","LIGHTER SPEC NORM FLAME 14.99","14.99","5.40"
"","LIGHTER SPEC NORM FLAME 16.99","16.99","6.00"
"            4433","LIGHTER SPEC NORM FLAME 19.99","19.99","4.78"
"2859-A","LIGHTER SPEC NORM FLAME 24.99","24.99","10.00"
"","LIGHTER SPEC NORM FLAME 29.99","29.99","7.50"
"           10479","MJ RECIPE KIT DRY STOUT","49.99","29.82"
"           10463","MJ RECIPE KIT DUTCH LAGER","37.99","19.78"
"           10456","MJ RECIPE KIT NZ CLASSIC LAGER","35.99","18.77"
"           40545","MJ HOPS STICKLEBRACT 100G","15.90","9.11"
"           10760","FUNNEL PIECES $35.00","35.00","3.48"
"HCCC","CCC COPPER CATALYTIC CONVERTER","9.99","4.50"
"","330ML BM GLASS BEER BTL SNGL","1.50","0.56"
"FKD046A00","ULTIMATE BONDAGE SET","71.99","25.00"
"F0115","SENSUAL SURRENDER","14.99","5.00"
"","CAP WASH CLEANER","19.99","5.00"
"SE-1167","POWER PLAY TONGUE VIBE","43.99","15.00"
"         1003030","BB TEASE MY TUSH BUTT PLUG","24.99","5.00"
"FVRB005A00","COUPLES DELIGHT REMOTE VIBE","99.99","35.00"
"H-716","NAUGHTY BUNNY VIBE COCKRING","34.99","12.00"
"G0-03","SC VIBRATING BULLET","29.99","10.00"
"          172270","CAL STARTER LAVENDER VIBE KIT","74.99","25.00"
"PD3728","FETISH CAT O NINE WHIP","34.99","12.00"
"BG-D96","1000 DRINKING GAMES","39.99","16.00"
"SE-0311-50","AC/DC DOUBLE DONG ART DECO","49.99","17.50"
"SE-1236-14","CRYSTALLINE BEADS LARGE","15.99","5.50"
"SE-2256-10","CANDLE TANTRIC MASSAGE STRAWB","34.99","13.50"
"SE-1403-05","CAL SILVER RING SET","24.99","9.00"
"SE-6901-20","COLT STALLION TAIL","44.99","15.00"
"SE-1022","ORO EXECTUTIVE SIMULATOR","74.99","26.00"
"SE-2958-00","NICK HAWK GIGOLO PUMP","53.99","18.60"
"2K-387","ENEMA SYRINGE","37.99","15.00"
"           55692","60LT CARBOUY","109.99","66.28"
"           30141","SS TS VODKA 50ML","11.99","6.74"
"           30100","SS TS BOURBON 50ML","11.99","6.74"
"           30144","SS TS CARAMEL VODKA 50ML","11.99","6.11"
"           30139","SS TS CITRUS VODKA 50ML","11.99","6.48"
"","1125ML GLASS SPIRIT BTL SNGL","6.00","2.08"
"H007","CAPS FOR PET BOTTES 50PK","10.50","5.00"
"BM121","BM MEDIUM HOP EXTRACT 50ML","5.50","2.90"
"BM120","BM LIGHT HOP EXTRACT 50ML","5.50","2.90"
"BM125","BM ISO HOP 50ML","4.50","3.05"
"BM122","BM HEAVY HOP EXTRACT 50ML","5.50","2.90"
"BM146","BM BELGIUM CANDY SYRUP 300ML","6.90","3.50"
"BM133","STOUT FLAVOUR ENHANCER 50ML","4.50","2.30"
"BM132","SPICE BASE 50ML","4.50","2.30"
"H896","EVIL DOG DOUBLE IPA BEER KIT","64.99","37.95"
"H840/C","MUNTONS IPA BITTER BEER KIT","29.99","16.65"
"H834","MUNTONS GOLD IPA BEER KIT","57.99","32.00"
"CCA","COPPER CLEANING AGENT","5.99","3.00"
"H5101","BRIGALOW APPLE/PEAR CIDER KIT","29.99","15.00"
"H602","INTRO TO WINEMAKING BOOK","10.00","3.50"
"","TRADEGEAR CHEESECLOTH","5.50","2.05"
"","EUPHORIX MOOD ELEVATOR 100ML","12.50","4.95"
"","SPARK $19 TRIO SIM","19.00","15.72"
"H166","TAP STANDARD","9.99","3.59"
"           55231","BRUSH BOTTLE STANDARD SML TIP","8.99","3.83"
"           55203","BRUSH CURVED DEMIJOHN","17.99","8.97"
"           55426","MJ HEAT BELT","39.99","19.12"
"ZIP240","ZIPPO VINTAGE BRASS BRUSHED","84.99","35.78"
"ZIP207","ZIPPO STREET CHROME","69.99","27.51"
"ZIP200","ZIPPO CHROME BRUSHED","79.99","31.38"
"ZIP169","ZIPPO ARMOR HIGH POL BRASS","129.99","53.14"
"ZIP270","ZIPPO VINTAGE HIGH POL BRASS","94.99","47.32"
"ZIP275","ZIPPO BRUSHED CHROME W LEAD","64.99","24.76"
"ZIP167","ZIPPO ARMOR HIGH POL CHROME","84.99","33.02"
"ZIP250","ZIPPO HIGH POLISHED CHROME","79.99","37.66"
"ZIP24940","ZIPPO ZODIAC CAPRICORN","89.99","37.15"
"ZIP24929","ZIPPO ZODIAC AQUARIUS","89.99","37.15"
